age,pos,TS%,TRB%,3PAr,FTAr
22,PF,59.8,17,1.8,48.4
25,SF,68.4,6,88.2,10.5
24,SG,53.4,5.1,42.8,10.9
30,SF,58.5,11,15.7,69.3
33,PG,57.3,6.3,46.7,34
20,SG,55,8.3,47.2,15.8
22,SF,62,9.5,37.8,35.2
28,C,62.1,13.1,58.8,25.1
27,C,62.7,14.1,54.7,12
29,SF,66.9,10.8,78,18.3
36,SG,50.7,10.4,53.4,17
23,SF,44,11.6,20.9,20.9
23,PF,65.1,20.4,3.8,70.5
32,PF,54.7,10.4,51.7,16.1
28,SF,47.1,6.3,53.3,35.6
23,PG,29.7,3.4,73,0
39,PF,47,20.3,27.3,36.4
28,SG,53,14.7,65.4,3.8
20,SF,59.5,10.8,20,40
24,SG,50,0,66.7,0
23,PF,50,12.9,0,0
30,SF,61.6,9.7,14.6,64.7
20,SG,55.7,8.7,46.2,19.5
22,PF,62.5,16.5,0.5,52.3
29,SF,57,10.2,80.1,22.9
25,SF,63.6,5.6,88.6,21.6
33,PG,54.9,7.2,39.9,22.8
36,SG,58,7.6,60,10.8
28,C,60.6,17.7,51.6,29.5
24,SG,48.2,7.7,46.7,8.7
22,SF,57.3,7.1,52.9,29.4
28,SF,66.7,9.6,66.7,0
27,C,78.8,1.9,50,25
23,PG,0,0,0,0
25,PF,61.3,22.1,23.7,50.8
28,SF,61.9,10.2,37.4,24
31,C,55.1,8.5,48.4,22.7
30,PG,57.1,8.5,30.6,30.4
33,SG,54.7,5,70.4,16.1
23,SG,55.7,10.3,48.4,16.9
33,PG,65.9,6.9,46.8,26.9
27,SG,56.5,11.3,55.1,13.3
32,PF,58.9,15.1,43.8,27.8
38,SF,62,6.3,80.9,14
31,C,55.4,8.3,35.1,17.7
24,SF,48.6,11.8,53.1,15.6
23,PF,47.5,12.5,55.3,13.6
33,PF,56.6,11.4,68.4,12.3
27,SF,49.6,9.2,20.8,35.4
25,PG,53,8,41.2,33.3
22,SF,58.2,10.9,42.9,14.3
28,SF,50.7,10.4,36.1,25.6
31,C,64.3,9,46.5,17.5
25,PF,61,24,24.8,50.3
33,PG,60.6,4.8,41.8,38.8
30,PG,48,8.2,32.7,26.5
33,SG,58.6,3.9,75.4,17.5
33,PF,56.9,14.4,48.9,6.4
27,SG,55.7,12.2,65.7,5.7
23,SG,55.2,10.4,41.2,39.2
38,SF,61.9,3.6,78.7,14.9
32,PF,45.5,9.3,55.6,22.2
31,C,75,10.2,0,0
24,SF,0,13.4,100,0
25,PG,0,0,0,0
21,SG,55.3,9.1,38.7,48
20,SG,46.7,7.4,38.8,20.6
24,SF,53.5,7.9,34.8,26.2
29,PF,57.2,10.7,62.9,19
24,C,64.2,16.8,44.5,36.3
31,PG,57.8,4.9,26.9,44.4
28,PG,53.9,6.8,56.2,31.1
30,C,56.3,17.4,43.3,21.3
26,SG,44.7,8,47.4,21.1
24,SF,53.5,9,45.6,31.6
23,PG,58.7,4.4,42.7,21.9
25,PF,54.4,6,40.2,17.9
24,SF,50.6,10.2,53,17.1
20,C,50.5,13.2,39.9,21.8
23,SG,59.1,8.1,49.4,12
24,PF,57.6,13.1,50.4,33.6
23,PG,55.3,7.4,52.1,26.1
24,C,60.5,17.6,16.3,32.6
32,PF,58.8,10.3,35.9,26.6
25,C,57,17.5,15,48.3
20,SG,47.1,4.5,49.1,32.1
27,SG,41.6,4.8,76.5,5.9
20,PF,53.2,10.6,100,200
22,SG,0,0,100,0
29,SG,53.7,7.3,34.4,18.1
22,PF,58.7,9.6,35,33.6
22,PG,51.7,10,57.5,11.1
24,SF,56.3,12.8,66.5,21.6
35,SG,64.4,5.1,62.9,29.3
28,C,62,21.4,2.1,20.9
19,C,68.9,12.7,1.5,73.4
29,C,55.6,9.2,63.8,22.6
30,SG,51,6.8,38.2,10.3
25,PF,42.9,11.9,66,17.7
21,PG,51,5.5,43.5,22.7
19,PF,61.6,11.9,3.9,49.4
21,SG,47.3,7.5,50,13.9
24,C,64.2,14.4,1.9,38.3
24,SF,66.7,9.4,11.1,0
25,SG,62.7,6.1,36.4,36.4
26,PG,50,4.6,0,0
25,PF,53.8,16,23,35
19,SG,47.9,8.7,27.1,34.9
21,C,72.6,16.2,0,43.4
24,C,53,12.9,31.7,15.8
30,SF,58.2,9,41.5,31.1
25,PG,47,9.1,15.7,19.5
21,PG,49.7,5.4,41.1,17.7
20,SF,47,8.4,49.6,25.2
34,C,61,13.9,4.9,19.6
25,SG,52.7,5.8,56.2,11.4
28,SG,50.2,5.3,49.6,9.4
32,SG,50.9,6.2,82.2,7.5
22,PG,39.9,7.7,25.6,25.1
24,PG,62,5.3,50,40.6
26,SF,53.6,7.5,37.9,36.4
27,SG,51.2,4.1,36.4,25
21,SF,35.1,5,40.9,22.7
21,SG,56.8,9.4,24.7,35.2
34,PG,61,8.7,34.3,31.5
26,PG,57.5,6.5,33.7,24.5
31,PF,61.2,9.7,53.7,36.5
26,C,60.4,19.2,0.6,42.1
21,SF,48.1,3.3,76.4,9.1
19,PF,49.7,12,44.5,19.6
25,C,71.1,14.7,1.1,39.4
21,SF,49.1,10.3,19.3,21.3
26,SF,59.1,6.4,48.7,25.1
20,SG,50.6,5.5,46.3,24.3
28,C,56.9,10.4,75.7,11.6
26,SG,39.6,8.8,42.4,11.2
28,SG,33.5,17.1,48.3,6.9
24,SG,29.8,4.8,56.7,26.7
23,PF,31.5,12.7,74.1,0
22,C,45,11.5,40,0
21,SF,0,10,0,0
21,SG,56.9,6.9,38.9,25.6
34,PG,60.4,10.4,38.4,23.2
26,PG,50.4,6,41.3,22.9
31,PF,56.9,9.4,46.8,38
26,C,58.4,20.2,1.9,38.5
20,SG,45.4,6.6,65.8,19.7
19,PF,65,19.5,71,32.3
25,C,49.1,15.6,5.9,58.8
21,SF,27.3,5,90.9,0
21,SF,46.2,12.6,45.5,63.6
26,SF,25.4,6.3,71.4,28.6
28,C,75,10.5,50,0
28,SG,0,0,100,0
26,SG,0,0,0,0
27,SG,59.5,4.4,46.7,23.7
24,PF,51.6,12.7,30.9,29.2
29,C,54.9,18.1,28,16.2
21,PG,51.7,6.4,17.5,20.6
28,SG,54.8,6.3,59.6,21.7
32,PG,55.4,4.6,43.6,39.3
22,SF,55.2,12.7,28.3,23.2
25,SF,54.4,7.4,35.2,41.6
27,C,56.6,12.9,0.7,70.6
21,C,54.2,18.5,37.4,16.1
28,SG,53.5,9.5,28.8,36.5
29,SF,56.6,10.5,47.4,27.8
29,PF,39.5,12.3,41.9,33.7
25,PF,57.1,10.6,81.1,4.1
23,SG,55.9,4.3,47.1,11.8
24,SF,41.2,9.7,28.1,31.3
26,PF,37.2,16.7,0,100
24,SF,36.3,9.6,38.9,33.3
30,PG,37.8,8.5,26.7,13.3
29,C,60.4,15.3,39.6,9.9
27,SG,49.6,6,61.4,29.8
21,PG,47.6,3.8,26.7,11.7
25,PF,52.6,10,97,15.2
28,SG,58.4,8.4,46.9,21.9
32,PG,58.8,4,37,50
29,SF,44.9,12.5,45.7,25.7
27,C,63.7,14.4,0,78.6
25,SF,44.6,7.4,35,40
24,SF,75,25.7,50,0
24,SF,150,25.7,100,0
27,PF,55.6,11.1,30.4,18.4
33,C,53.6,12.4,39.9,11.3
23,PG,60.2,12.2,1.1,46.1
26,SG,53.3,5.7,38.5,21.8
22,SG,57.9,6,63.2,18.1
25,C,59,21.7,21.5,54.3
22,SG,53.9,4.6,59.2,15.5
31,PF,55.7,11.3,62,10.6
23,SG,61.7,6,48.7,23.5
29,SF,56.4,10.7,46.9,27
27,PG,56.7,5,39.6,21.2
28,SG,59.4,8.5,46.1,24.6
27,PG,54.5,5.9,29.9,14.2
29,C,54.4,20.5,31.8,23.5
26,SF,59.8,9,31.8,14.1
26,C,52.6,17.1,2.1,29.2
20,SG,31.3,3.5,27.3,36.4
24,SG,40,13.8,50,33.3
24,PF,51.5,3.9,33.3,66.7
27,PF,46.1,13.7,25,31.7
25,C,60,18.2,21.6,79.7
26,SG,52.4,5.6,50,32.1
33,C,49.9,12.1,16,28
23,SG,61.6,5.5,56.8,15.9
28,SG,39.7,8.5,32.7,18.4
22,SG,50,5,57.1,0
